exercise_id	code	name	image_url	muscle_group	pattern	primary_tool	secondary_tool	location	complexity	level	fatigue	goals	category	compat	caution	forbidden	target_muscles	secondary_muscles
exr_41n2haAabPyN5t8y	PIE031	Side Lunge	https://cdn.exercisedb.dev/media/w/images/RB7NBcf79I.jpg	Pierna	Dominante Rodilla	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media	PG, GMM	Metabólico	ENF002, ENF003	PAT007, PAT008	PAT009	GLUTEUS MAXIMUS, QUADRICEPS	ADDUCTOR MAGNUS, GLUTEUS MEDIUS, SOLEUS, TENSOR FASCIAE LATAE
exr_41n2hadPLLFRGvFk	ESP031	Sliding Floor Pulldown on Towel	https://cdn.exercisedb.dev/media/w/images/9fW96RFqRZ.jpg	Espalda	Tracción Vertical	Toalla	Propio Peso	Casa	Baja-Media	Básico	Baja-Media	PG, SB	Correctivo	ENF001, ENF002, ENF003	PAT004	Ninguna	LATISSIMUS DORSI	POSTERIOR DELTOID, TRICEPS BRACHII, TERES MINOR, TRAPEZIUS LOWER FIBERS, TRAPEZIUS MIDDLE FIBERS, TERES MAJOR, INFRASPINATUS
exr_41n2hbYPY4jLKxW3	PIE032	Peroneals Stretch	https://cdn.exercisedb.dev/media/w/images/AcGb20UoJg.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	SOLEUS
exr_41n2hcFJpBvAkXCP	ESP032	Seated Row with Towel	https://cdn.exercisedb.dev/media/w/images/XsWkx1qcBC.jpg	Espalda	Tracción Horizontal	Toalla	Propio Peso	Casa	Baja-Media	Básico	Baja-Media	PG, SB	Complementario	ENF001, ENF002, ENF003	PAT001, PAT004	PAT002	INFRASPINATUS, TRAPEZIUS UPPER FIBERS, LATISSIMUS DORSI, TERES MINOR, TRAPEZIUS MIDDLE FIBERS, TERES MAJOR	POSTERIOR DELTOID, BRACHIORADIALIS, BRACHIALIS
exr_41n2hcw2FN534HcA	PIE033	Dumbbell Stiff Leg Deadlift	https://cdn.exercisedb.dev/media/w/images/1aHXOCzatq.jpg	Pierna	Dominante Cadera	Mancuernas	Ninguna	Gimnasio, Casa	Media	Intermedio	Media-Alta	GMM, RD	Principal	ENF002, ENF003	PAT001, PAT007	PAT002	ERECTOR SPINAE, GLUTEUS MAXIMUS	HAMSTRINGS
exr_41n2hd6SThQhAdnZ	ESP033	Chin-ups	https://cdn.exercisedb.dev/media/w/images/TLX9vGr1dx.jpg	Espalda	Tracción Vertical	Barra	Propio Peso	Gimnasio, Aire Libre	Media-Alta	Intermedio	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005	Ninguna	INFRASPINATUS, LATISSIMUS DORSI, TRAPEZIUS LOWER FIBERS, TERES MINOR, TERES MAJOR, TRAPEZIUS MIDDLE FIBERS	BRACHIORADIALIS, PECTORALIS MAJOR STERNAL HEAD, BRACHIALIS, POSTERIOR DELTOID
exr_41n2hd78zujKUEWK	PIE034	Single Leg Squat	https://cdn.exercisedb.dev/media/w/images/MosYINt7dV.jpg	Pierna	Dominante Rodilla	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media-Alta	Avanzado	Alta	GMM, RD	Principal	ENF002, ENF003	PAT007, PAT008	PAT009	GLUTEUS MAXIMUS, QUADRICEPS	SOLEUS, ADDUCTOR MAGNUS
exr_41n2hdkBpqwoDmVq	ESP034	Suspended Row	https://cdn.exercisedb.dev/media/w/images/bXwXW2WUCj.jpg	Espalda	Tracción Horizontal	Suspensión / TRX	Propio Peso	Casa, Gimnasio, Aire Libre	Media	Intermedio	Media	PG, GMM, SB	Complementario	ENF001, ENF002, ENF003	PAT001, PAT004	PAT002	INFRASPINATUS, TRAPEZIUS UPPER FIBERS, TRAPEZIUS LOWER FIBERS, TERES MAJOR, TERES MINOR, LATISSIMUS DORSI, TRAPEZIUS MIDDLE FIBERS	PECTORALIS MAJOR STERNAL HEAD, BRACHIORADIALIS, BRACHIALIS, POSTERIOR DELTOID, BICEPS BRACHII
exr_41n2hdsGcuzs4WrV	ESP035	Self Assisted Inverted Pullover	https://cdn.exercisedb.dev/media/w/images/n4N7gfo3Ph.jpg	Espalda	Tracción Vertical	Propio Peso	Ninguna	Casa, Aire Libre	Media	Intermedio	Media	PG, GMM	Complementario	ENF001, ENF002, ENF003	PAT004	Ninguna	RECTUS ABDOMINIS, LATISSIMUS DORSI
exr_41n2hkmMrSwcHkZ8	PEC038	Clap Push Up	https://cdn.exercisedb.dev/media/w/images/lFYWJB9Dmn.jpg	Pecho	Empuje Dinámico	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Alta	Avanzado	Alta	RD, GMM	Potencia	ENF002	PAT004, PAT005, MUN, PAT011	ENF001, ENF008, ENF010, PAT014	PECTORALIS MAJOR CLAVICULAR HEAD, TRICEPS BRACHII, PECTORALIS MAJOR STERNAL HEAD, ANTERIOR DELTOID	TRAPEZIUS UPPER FIBERS, SERRATUS ANTERIOR
exr_41n2hM8vgMA6MREd	HOM031	Left hook. Boxing	https://cdn.exercisedb.dev/media/w/images/SZeMKod0yD.jpg	Hombro	Rotacional	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media-Alta	PG, RD, SB	Metabólico	ENF001, ENF002, ENF003	PAT004, PAT001, MUN	PAT002	TENSOR FASCIAE LATAE, OBLIQUES, ILIOPSOAS, GASTROCNEMIUS, SOLEUS, LATISSIMUS DORSI, TERES MAJOR, ANTERIOR DELTOID, GLUTEUS MEDIUS, PECTORALIS MAJOR CLAVICULAR HEAD, LATERAL DELTOID, PECTORALIS MAJOR STERNAL HEAD
exr_41n2hnAGfMhp95LQ	HOM032	Shoulder Tap Push-up	https://cdn.exercisedb.dev/media/w/images/yNystoPkKh.jpg	Hombro	Anti-Rotación	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media-Alta	PG, SB, RD	Estabilidad	ENF001, ENF002, ENF003, ENF009	PAT004, PAT011, MUN	ENF010	ANTERIOR DELTOID, RECTUS ABDOMINIS, SERRATUS ANTERIOR, STERNOCLEIDOMASTOID	TENSOR FASCIAE LATAE, WRIST FLEXORS
exr_41n2hNfaYkEKLQHK	PEC039	Elevated Push-Up	https://cdn.exercisedb.dev/media/w/images/6ZttyVFvT1.jpg	Pecho	Empuje Horizontal	Propio Peso	Banco	Casa, Aire Libre, Gimnasio	Baja-Media	Básico	Baja-Media	PG, SB, GMM	Metabólico	ENF001, ENF002, ENF003	PAT004, MUN	ENF010	PECTORALIS MAJOR STERNAL HEAD	ANTERIOR DELTOID, PECTORALIS MAJOR CLAVICULAR HEAD
exr_41n2hfnnXz9shkBi	ESP036	Lying Lower Back Stretch	https://cdn.exercisedb.dev/media/w/images/9w9vjAYwal.jpg	Espalda	Estabilización	Propio Peso	Ninguna	Casa	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	ERECTOR SPINAE	HAMSTRINGS, GLUTEUS MAXIMUS
exr_41n2hftBVLiXgtRQ	ESP037	Wide Grip Pull-Up	https://cdn.exercisedb.dev/media/w/images/KTxTtuwOqD.jpg	Espalda	Tracción Vertical	Barra	Propio Peso	Gimnasio, Aire Libre	Media-Alta	Avanzado	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005	Ninguna	LATISSIMUS DORSI	TERES MAJOR, BRACHIORADIALIS, BRACHIALIS, TRAPEZIUS MIDDLE FIBERS, BICEPS BRACHII, TRAPEZIUS LOWER FIBERS
exr_41n2hHdjQpnyNdie	ESP038	One Arm Bent-over Row	https://cdn.exercisedb.dev/media/w/images/Ndd2gbg1ko.jpg	Espalda	Tracción Horizontal	Mancuernas	Banco	Gimnasio, Casa	Media	Intermedio	Media-Alta	GMM, RD, PG	Principal	ENF001, ENF002, ENF003	PAT001, PAT004	PAT002	LATISSIMUS DORSI, TERES MAJOR, TRAPEZIUS MIDDLE FIBERS, INFRASPINATUS, TRAPEZIUS LOWER FIBERS, TERES MINOR	PECTORALIS MAJOR STERNAL HEAD, BRACHIALIS, POSTERIOR DELTOID, BRACHIORADIALIS
exr_41n2hkknYAEEE3tc	COR031	Front Toe Touching	https://cdn.exercisedb.dev/media/w/images/NKv0f4GLQP.jpg	Core	Core Anterior	Propio Peso	Ninguna	Casa, Aire Libre	Baja-Media	Básico	Baja	SB, PG	Correctivo	ENF001, ENF002, ENF003	PAT001	PAT002	RECTUS ABDOMINIS	OBLIQUES, ILIOPSOAS
exr_41n2hMydkzFvswVX	COR032	Side Two Front Toe Touching	https://cdn.exercisedb.dev/media/w/images/jJOZ9F9HyC.jpg	Core	Core Lateral	Propio Peso	Ninguna	Casa, Aire Libre	Baja-Media	Básico	Baja	SB, PG	Correctivo	ENF001, ENF002, ENF003	PAT001	PAT002	PECTINEUS, SERRATUS ANTERIOR
exr_41n2hpJxS5VQKtBL	ESP039	Lying Lower Back Stretch II	https://cdn.exercisedb.dev/media/w/images/4C6IftIpvy.jpg	Espalda	Estabilización	Propio Peso	Ninguna	Casa	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	ERECTOR SPINAE
exr_41n2hpnZ6oASM662	ESP040	Kneeling Push up to Child Pose	https://cdn.exercisedb.dev/media/w/images/qEMl4mkIFx.jpg	Espalda	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja-Media	Básico	Baja-Media	SB, PG	Correctivo	ENF001, ENF002, ENF003	PAT001, PAT004	Ninguna	RECTUS ABDOMINIS	SUBSCAPULARIS, QUADRICEPS
exr_41n2hQEqKxuAfV1D	ESP041	Pull-up with Bent Knee between Chairs	https://cdn.exercisedb.dev/media/w/images/FJuNSNoybI.jpg	Espalda	Tracción Vertical	Sillas	Propio Peso	Casa	Media	Intermedio	Media-Alta	PG, GMM	Complementario	ENF001, ENF002, ENF003	PAT004	Ninguna	LATISSIMUS DORSI	TRAPEZIUS LOWER FIBERS, TERES MINOR, BRACHIORADIALIS, TRAPEZIUS MIDDLE FIBERS, INFRASPINATUS, BRACHIALIS, BICEPS BRACHII, TERES MAJOR
exr_41n2hRH4aTB379Tp	ESP042	45 degree hyperextension	https://cdn.exercisedb.dev/media/w/images/ZuggCImG8H.jpg	Espalda	Extensión Espinal	Banco Romano / Hiperextensión	Propio Peso	Gimnasio	Media	Intermedio	Media	GMM, SB, PG	Complementario	ENF001, ENF002, ENF003	PAT001	PAT002	ERECTOR SPINAE, GLUTEUS MAXIMUS	HAMSTRINGS
exr_41n2hsBtDXapcADg	ESP043	Pull-up (Overhand)	https://cdn.exercisedb.dev/media/w/images/g0ZmaTcu2Q.jpg	Espalda	Tracción Vertical	Barra	Propio Peso	Gimnasio, Aire Libre	Media-Alta	Intermedio	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005	Ninguna	LATISSIMUS DORSI	TRAPEZIUS LOWER FIBERS, TERES MINOR, BRACHIALIS, POSTERIOR DELTOID, TERES MAJOR, TRAPEZIUS MIDDLE FIBERS, INFRASPINATUS, BRACHIORADIALIS
exr_41n2hU4y6EaYXFhr	ESP044	Pull-up	https://cdn.exercisedb.dev/media/w/images/gNdMNPVxAj.jpg	Espalda	Tracción Vertical	Barra	Propio Peso	Gimnasio, Aire Libre	Media-Alta	Intermedio	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005	Ninguna	LATISSIMUS DORSI	TERES MAJOR, BRACHIALIS, BRACHIORADIALIS, TRAPEZIUS LOWER FIBERS
exr_41n2hVCJfpAvJcdU	ESP045	Commando Pull-up	https://cdn.exercisedb.dev/media/w/images/tczafQq5N0.jpg	Espalda	Tracción Vertical	Barra	Propio Peso	Gimnasio, Aire Libre	Media-Alta	Avanzado	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005	Ninguna	TRAPEZIUS LOWER FIBERS, TERES MAJOR, LATISSIMUS DORSI, INFRASPINATUS, TRAPEZIUS MIDDLE FIBERS, OBLIQUES, TERES MINOR	BRACHIORADIALIS, POSTERIOR DELTOID, BICEPS BRACHII, BRACHIALIS
exr_41n2hw1QspZ6uXoW	COR033	Side Toe Touching	https://cdn.exercisedb.dev/media/w/images/UX1YlRUBIN.jpg	Core	Core Lateral	Propio Peso	Ninguna	Casa, Aire Libre	Baja-Media	Básico	Baja	SB, PG	Correctivo	ENF001, ENF002, ENF003	PAT001	PAT002	SARTORIUS	TRANSVERSUS ABDOMINIS, ILIOPSOAS
exr_41n2hWxnJoGwbJpa	ESP046	Superman Row with Towel	https://cdn.exercisedb.dev/media/w/images/ixufDWekVb.jpg	Espalda	Tracción Horizontal	Toalla	Propio Peso	Casa	Baja-Media	Básico	Baja-Media	SB, PG	Correctivo	ENF001, ENF002, ENF003	PAT001, PAT004	PAT002	GLUTEUS MAXIMUS, LATISSIMUS DORSI, ERECTOR SPINAE	BICEPS BRACHII, TERES MINOR, HAMSTRINGS, BRACHIORADIALIS, TERES MAJOR, INFRASPINATUS, BRACHIALIS, POSTERIOR DELTOID
exr_41n2hXfpvSshoXWG	HOM033	Dumbbell Clean and Press	https://cdn.exercisedb.dev/media/w/images/1OBFu6DAxW.jpg	Hombro	Empuje Vertical Explosivo	Mancuernas	Ninguna	Gimnasio, Casa	Alta	Avanzado	Alta	RD, GMM	Potencia	ENF002	PAT001, PAT004, PAT011	PAT002, PAT014	BICEPS BRACHII, ANTERIOR DELTOID, STERNOCLEIDOMASTOID, POSTERIOR DELTOID, TRICEPS BRACHII, RECTUS ABDOMINIS, LATISSIMUS DORSI	SOLEUS, DEEP HIP EXTERNAL ROTATORS, LATERAL DELTOID, ERECTOR SPINAE
exr_41n2hxg75dFGERdp	ESP047	L-Pull-up	https://cdn.exercisedb.dev/media/w/images/DMKexKmHFn.jpg	Espalda	Tracción Vertical	Barra	Propio Peso	Gimnasio, Aire Libre	Alta	Avanzado	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005, PAT001	PAT002	LATISSIMUS DORSI, POSTERIOR DELTOID	ERECTOR SPINAE, LEVATOR SCAPULAE, GLUTEUS MEDIUS
exr_41n2hXszY7TgwKy4	ESP048	Chin-Up (Underhand)	https://cdn.exercisedb.dev/media/w/images/S7KbaJxkei.jpg	Espalda	Tracción Vertical	Barra	Propio Peso	Gimnasio, Aire Libre	Media-Alta	Intermedio	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005	Ninguna	LATISSIMUS DORSI	TRAPEZIUS MIDDLE FIBERS, PECTORALIS MAJOR STERNAL HEAD, POSTERIOR DELTOID, TRAPEZIUS LOWER FIBERS, BRACHIALIS, BRACHIORADIALIS, TERES MAJOR
exr_41n2hR12rPqdpWP8	PEC040	Pike-to-Cobra Push-up	https://cdn.exercisedb.dev/media/w/images/879xVSMBvA.jpg	Pecho	Empuje Dinámico	Propio Peso	Ninguna	Casa, Aire Libre	Media-Alta	Intermedio	Media-Alta	PG, GMM, SB	Metabólico	ENF002, ENF003	PAT001, PAT004, MUN	PAT002	GLUTEUS MAXIMUS, TRICEPS BRACHII, ERECTOR SPINAE, PECTORALIS MAJOR STERNAL HEAD, PECTORALIS MAJOR CLAVICULAR HEAD	SOLEUS, HAMSTRINGS, GASTROCNEMIUS, ANTERIOR DELTOID
exr_41n2hSq88Ni3KCny	HOM034	Standing Alternate Arms Circling	https://cdn.exercisedb.dev/media/w/images/MNEbf0CfLo.jpg	Hombro	Estabilidad Escapular	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	PAT004	Ninguna	ADDUCTOR BREVIS	SPLENIUS
exr_41n2hSvEPVntpxSG	PEC041	Kneeling Rotational Push-up	https://cdn.exercisedb.dev/media/w/images/XkwVtgN8dJ.jpg	Pecho	Empuje Horizontal	Propio Peso	Ninguna	Casa, Aire Libre	Baja-Media	Básico	Baja-Media	PG, SB	Metabólico	ENF001, ENF002, ENF003	PAT004, MUN	ENF010	PECTORALIS MAJOR STERNAL HEAD, PECTORALIS MAJOR CLAVICULAR HEAD, OBLIQUES	TRICEPS BRACHII, ANTERIOR DELTOID, RECTUS ABDOMINIS
exr_41n2hUBVSgXaKhau	HOM035	Standing Arms Circling	https://cdn.exercisedb.dev/media/w/images/2rCXHeJmIA.jpg	Hombro	Estabilidad Escapular	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	PAT004	Ninguna	POSTERIOR DELTOID, SERRATUS ANTERIOR
exr_41n2huXeEFSaqo4G	HOM036	Standing One Arm Circling	https://cdn.exercisedb.dev/media/w/images/N6BYyJC1zl.jpg	Hombro	Estabilidad Escapular	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	PAT004	Ninguna	LATISSIMUS DORSI	TRICEPS BRACHII, LEVATOR SCAPULAE
exr_41n2hw4iksLYXESz	PEC042	Seated Shoulder Flexor Depresor Retractor Stretch Bent Knee	https://cdn.exercisedb.dev/media/w/images/DbYTA0rvWJ.jpg	Pecho	Estabilización	Propio Peso	Ninguna	Casa	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	PAT004	Ninguna	PECTORALIS MAJOR CLAVICULAR HEAD, ANTERIOR DELTOID	BICEPS BRACHII
exr_41n2hWgAAtQeA3Lh	PEC043	Wide Hand Push up	https://cdn.exercisedb.dev/media/w/images/PvR5nLWE36.jpg	Pecho	Empuje Horizontal	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media	PG, GMM	Principal	ENF002, ENF003	PAT004, PAT005, MUN	ENF010	PECTORALIS MAJOR STERNAL HEAD	ANTERIOR DELTOID, PECTORALIS MAJOR CLAVICULAR HEAD, TRICEPS BRACHII
exr_41n2hxnFMotsXTj3	PEC044	Bench Press	https://cdn.exercisedb.dev/media/w/images/A8OLBqBa26.jpg	Pecho	Empuje Horizontal	Barra	Banco	Gimnasio	Media-Alta	Intermedio	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005, MUN	Ninguna	PECTORALIS MAJOR STERNAL HEAD	TRICEPS BRACHII, ANTERIOR DELTOID, PECTORALIS MAJOR CLAVICULAR HEAD
exr_41n2hXXpvbykPY3q	PEC045	Incline Push-up	https://cdn.exercisedb.dev/media/w/images/CnQLzYUncF.jpg	Pecho	Empuje Inclinado	Propio Peso	Banco	Casa, Aire Libre, Gimnasio	Baja-Media	Básico	Baja-Media	PG, SB, GMM	Metabólico	ENF001, ENF002, ENF003	PAT004, MUN	ENF010	PECTORALIS MAJOR STERNAL HEAD	ANTERIOR DELTOID, PECTORALIS MAJOR CLAVICULAR HEAD, TRICEPS BRACHII
exr_41n2hynD9srC1kY7	HOM037	Standing Arms Flinging	https://cdn.exercisedb.dev/media/w/images/vRBM4T9Q3P.jpg	Hombro	Estabilidad Escapular	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	PAT004	Ninguna	TRICEPS BRACHII
exr_41n2hc2VrB8ofxrW	BIC031	Lying Double Legs Biceps Curl with Towel	https://cdn.exercisedb.dev/media/w/images/sGKkXKxdYy.jpg	Bíceps	Flexión de Codo	Toalla	Propio Peso	Casa	Baja-Media	Básico	Baja-Media	PG, SB	Aislamiento	ENF001, ENF002, ENF003	MUN	Ninguna	BICEPS BRACHII	BRACHIALIS, BRACHIORADIALIS
exr_41n2hdo2vCtq4F3E	HOM038	Right Cross. Boxing	https://cdn.exercisedb.dev/media/w/images/NenhkXpa3a.jpg	Hombro	Rotacional	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media-Alta	PG, RD, SB	Metabólico	ENF001, ENF002, ENF003	PAT004, MUN	PAT002	ANTERIOR DELTOID, TRICEPS BRACHII, OBLIQUES	GASTROCNEMIUS, SOLEUS, SERRATUS ANTERIOR
exr_41n2hqjVS3nwBoyr	BIC032	Two Legs Hammer Curl with Towel	https://cdn.exercisedb.dev/media/w/images/FSiUO8Qvgu.jpg	Bíceps	Flexión de Codo Neutra	Toalla	Propio Peso	Casa	Baja-Media	Básico	Baja-Media	PG, SB	Aislamiento	ENF001, ENF002, ENF003	MUN	Ninguna	BRACHIORADIALIS	BRACHIALIS, BICEPS BRACHII
exr_41n2hwio5ECAfLuS	HOM039	Right Hook. Boxing	https://cdn.exercisedb.dev/media/w/images/NsGBTPFcDo.jpg	Hombro	Rotacional	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media-Alta	PG, RD, SB	Metabólico	ENF001, ENF002, ENF003	PAT004, MUN	PAT002	INFRASPINATUS, TRAPEZIUS UPPER FIBERS, SARTORIUS, TRICEPS BRACHII	ANTERIOR DELTOID, TENSOR FASCIAE LATAE, TRAPEZIUS MIDDLE FIBERS, STERNOCLEIDOMASTOID, LEVATOR SCAPULAE
exr_41n2hx6oyEujP1B6	BIC033	Two Legs Reverse Biceps Curl with Towel	https://cdn.exercisedb.dev/media/w/images/JxwkNMNgXK.jpg	Bíceps	Flexión de Codo	Toalla	Propio Peso	Casa	Baja-Media	Básico	Baja-Media	PG, SB	Aislamiento	ENF001, ENF002, ENF003	MUN	Ninguna	BICEPS BRACHII	BRACHIORADIALIS, BRACHIALIS
exr_41n2hx9wyaRGNyvs	BIC034	Lying Double Legs Hammer Curl with Towel	https://cdn.exercisedb.dev/media/w/images/Ud1cn07ovG.jpg	Bíceps	Flexión de Codo Neutra	Toalla	Propio Peso	Casa	Baja-Media	Básico	Baja-Media	PG, SB	Aislamiento	ENF001, ENF002, ENF003	MUN	Ninguna	BRACHIORADIALIS	BICEPS BRACHII, BRACHIALIS
exr_41n2hxqpSU5p6DZv	BIC035	Biceps Leg Concentration Curl	https://cdn.exercisedb.dev/media/w/images/YXSxsv8zit.jpg	Bíceps	Flexión de Codo Unilateral	Propio Peso	Ninguna	Casa, Aire Libre	Baja-Media	Básico	Baja-Media	PG, GMM	Aislamiento	ENF001, ENF002, ENF003	MUN	Ninguna	BICEPS BRACHII	BRACHIORADIALIS, BRACHIALIS
exr_41n2hzAMXkkQQ5T2	BIC036	Inverted Chin Curl with Bent Knee between Chairs	https://cdn.exercisedb.dev/media/w/images/bQqmNEEdBJ.jpg	Bíceps	Flexión de Codo	Sillas	Propio Peso	Casa	Media	Intermedio	Media-Alta	PG, GMM	Complementario	ENF001, ENF002, ENF003	PAT004, MUN	Ninguna	BICEPS BRACHII	BRACHIORADIALIS, BRACHIALIS
